FID,Cell_id,cell_lat,BIO1MEAN,BIO10MEAN,BIO11MEAN,BIO12MEAN,BIO13MEAN,BIO14MEAN,BIO15MEAN,BIO16MEAN,BIO17MEAN,BIO18MEAN,BIO19MEAN,BIO2MEAN,BIO3MEAN,BIO4MEAN,BIO5MEAN,BIO6MEAN,BIO7MEAN,BIO8MEAN,BIO9MEAN,ElevMean,occurence
0,Cell_00001,45.1805,12.2238998,21.6597996,2.4533801,796.2219849,105.8820038,40.8471985,26.2271996,254.0619965,158.3679962,168.7290039,159.3820038,9.4322701,31.0762997,777.9949951,28.2033005,-2.14978,30.3530998,12.8204002,6.4916201,98.9721985,0
1,Cell_00004,53.6444016,9.48034,15.4399004,4.0497198,639.5819702,65.1013031,41.1391983,12.8240995,183.8990021,137.8990021,162.0249939,164.2149963,6.9435,35.4011002,470.5929871,20.6327991,1.0184,19.6144009,4.9958501,5.8139901,22.3038006,0
2,Cell_00007,47.6805,5.1013598,13.2115002,-2.9138801,1349.939941,177.9380035,72.0139008,29.7227993,486.8190002,249.6390076,486.8190002,250.0829926,8.3715801,32.3805008,662.6820068,18.7164001,-7.08742,25.8038006,13.2115002,-2.6404901,1112.119995,0
3,Cell_00010,37.2709999,16.5937004,23.6588993,10.4938002,437.4710083,70.9309998,2.4252901,65.697998,200.4369965,16.4713001,41.8506012,138.1950073,8.4215899,36.3894997,551.7819824,29.6289005,6.4811502,23.1476994,14.8383999,23.3425007,286.7009888,0
4,Cell_00013,63.6805,1.68492,13.9843998,-10.1351004,623.3889771,79.7360992,32.1944008,31.6987,221.1940002,98.805603,221.1940002,116.2009964,8.3453598,23.1797009,967.1619873,20.7563992,-15.2458,36.0023003,13.9843998,-5.1793699,156.7779999,0
5,Cell_00017,59.1792984,4.81005,15.7368002,-5.8924398,622.8469849,80.5278015,26.9722004,37.1945,232.1459961,89.0625,215.701004,104.3960037,7.6026301,23.3885994,878.8200073,22.2663002,-10.2271004,32.4933014,14.5536003,-5.1636901,51.5139008,0
6,Cell_00018,77.2177963,-6.2268801,1.15917,-12.5397997,555.6389771,56.7647018,28.5713997,20.6622009,167.1679993,96.8571014,116.8239975,162.6470032,4.0795698,21.2325001,570.2399902,3.47944,-15.7489004,19.2283993,-11.7468996,-4.22123,487.4620056,0
7,Cell_00021,54.6805,5.0169401,15.9580002,-6.1986599,664.367981,90.3889008,33,32.6735992,239.8190002,107.1179962,239.8190002,119.9509964,7.8930302,24.8810005,905.7659912,21.6439991,-10.0773001,31.7213001,15.9580002,-4.8636398,197.0899963,0
8,Cell_00022,53.1805,8.1663799,17.4179001,-1.2051001,546.9379883,73.0485992,24.4097004,30.7514992,195.8190002,92.0625,195.8190002,103.4309998,8.0682602,28.8896999,756.8469849,23.3651009,-4.5638099,27.9288998,17.4179001,1.87398,94.9721985,0
9,Cell_00024,63.1805,1.45796,10.6188002,-6.4987602,1001.669983,113.6039963,57.1944008,22.8701,324.3890076,177.8679962,300.2709961,242.4309998,7.1656799,26.8799992,702.3109741,16.2910004,-10.3498001,26.6408005,9.7074003,-0.0033056,660.9240112,0
10,Cell_00026,55.6805,6.1360202,15.9031,-3.50719,619.5490112,78.0139008,27.2222004,29.0622005,214.9170074,99.7639008,214.9170074,113.6039963,7.46067,26.6362991,794.3460083,21.4246006,-6.58497,28.0095005,15.9031,-2.43468,118.3190002,0
11,Cell_00027,56.6805,5.70999,16.0883007,-4.5973001,720.2709961,83.2917023,35.2083015,25.3010006,233.0279999,122.9720001,227.875,144.5070038,7.77491,25.5760002,837.8989868,22.2017002,-8.19767,30.3994007,14.6275997,-0.298088,105.8960037,0
12,Cell_00028,65.6804962,0.964633,13.4890003,-10.5490999,611.0419922,73.0139008,30.9514008,25.7535,199.9790039,102.5279999,195.7709961,130.6529999,7.9711199,22.4815006,966.0040283,19.9034996,-15.5507002,35.4542007,11.7405005,-5.95363,113.3539963,0
13,Cell_00030,52.1805,7.0029998,17.0643005,-3.3458099,585.7290039,81.5903015,28.7014008,34.9454002,217.2290039,93.944397,217.2079926,102.8470001,8.5127001,28.4787006,836.7089844,22.9391994,-6.9464202,29.8857002,16.5818005,-2.32425,135.048996,0
14,Cell_00032,36.5750008,18.4431992,25.5508003,12.1117001,585.4000244,124,1,91.8743973,334.8999939,6.3000002,6.3000002,321.7999878,5.87956,28.4629993,561.5319824,29.7793007,9.1251202,20.6541996,12.1203003,25.5508003,100.0999985,0
15,Cell_00034,38.6805,15.9305,23.2935009,9.4429502,563.6040039,86.1667023,4.8958302,56.2243004,233.4859924,32.5833015,37.5346985,218.1109924,12.3704004,43.5036011,566.6129761,32.4082985,3.9563601,28.4519005,10.2579002,23.0604992,271.9379883,0
16,Cell_00035,48.1805,7.6675801,16.4556007,-1.1952699,792.5560303,111.5279999,40.5278015,35.5028,301.9859924,131.2850037,301.9859924,131.2850037,9.3317204,32.9328003,718.7620239,22.7978001,-5.5411701,28.3390007,16.4556007,-1.1952699,508.3540039,0
17,Cell_00038,79.111702,-8.6584597,0.479191,-16.5552998,291.0710144,33.9880981,12.7143002,28.3518009,98.3332977,44.1428986,55.0357018,98.3332977,4.7961602,20.3992004,718.8309937,2.82286,-20.6884995,23.5112991,-16.5552998,-2.1473,302.4169922,0
18,Cell_00040,54.6805,7.7315102,13.2083998,2.82706,1378.550049,154.0209961,77.3264008,24.6487007,453.0759888,239.5970001,274.7990112,415.0069885,6.6283798,37.2928009,427.4179993,17.8479996,0.074408,17.7735996,4.1055698,9.3030596,250.3059998,0
19,Cell_00042,60.5667992,5.3695798,14.9703999,-3.1972899,616.4710083,75.8675995,32.7647018,26.9685001,210.7649994,108.2789993,197.3240051,127.1620026,7.8983598,27.7285995,737.9390259,21.1646004,-7.3171902,28.4818001,13.8622999,-0.341173,21.2940998,0
20,Cell_00046,50.9673004,9.8060799,14.7343998,5.5535798,1109.079956,130.5829926,61,27.2947998,381,195.6670074,244,319,6.1565399,37.297699,385.5360107,18.8868999,2.3841701,16.5027008,6.5815902,10.5129004,159.9170074,0
21,Cell_00048,60.2921982,5.41888,15.2882004,-3.4337101,652.9379883,76.5625,31.5625,29.3337994,215.8119965,110.3119965,177.3119965,134.9380035,5.9815502,21.6375008,766.1450195,20.0755005,-7.5367699,27.6121998,6.4482899,3.29089,12.375,0
22,Cell_00049,43.1403008,13.0426998,17.8306007,8.8962002,1412.23999,198.6260071,34.8862,43.9874001,546.6420288,146.7969971,177.2519989,535.617981,7.7579699,44.0830002,365.0920105,22.9048996,5.3115802,17.5932999,9.6079702,17.5042992,269.9509888,0
23,Cell_00051,65.1804962,0.697053,13.1743002,-10.8613997,653,79.2917023,34.4166985,27.8889999,221.7850037,106.7009964,219.3890076,129.0209961,7.9288998,22.4545002,966.1350098,19.8448009,-15.4614,35.3061981,11.3073997,-5.9460001,236.5420074,0
