FID,Cell_id,Cell_lat,BIO1MEAN,BIO10MEAN,BIO11MEAN,BIO12MEAN,BIO13MEAN,BIO14MEAN,BIO15MEAN,BIO16MEAN,BIO17MEAN,BIO18MEAN,BIO19MEAN,BIO2MEAN,BIO3MEAN,BIO4MEAN,BIO5MEAN,BIO6MEAN,BIO7MEAN,BIO8MEAN,BIO9MEAN,ElevMean
0,Cell_00001,45.1805,15.3083,9.9574099,32.0824013,804.2990112,32.546299,1.50278,31.0435009,14.1619997,26.2777996,25.3019009,5.5601802,800.8070068,105.5810013,36.6240997,26.2045994,246.5950012,151.3240051,151.177002,182.9440002,98.9721985
1,Cell_00004,53.6449013,11.5667,7.1833301,34.6791992,498.9580078,23.6625004,2.8833301,20.7791996,6.3187499,13.1208,18.0457993,5.9645801,643.9559937,70.4749985,43.9625015,14.5749998,194.4120026,142.1210022,149.2599945,177.8730011,22.3038006
2,Cell_00007,47.6805,8.3175898,8.4120398,32.4944,660.8809814,23.1499996,-2.7407401,25.8906994,16.1175995,0.688889,16.5786991,0.582407,1364.920044,171.9980011,76.3824005,26.4638996,466.7720032,257.8680115,457.7999878,258.9750061,1112.119995
3,Cell_00010,37.2742996,19.0405998,8.7188396,35.1767998,592.0410156,32.9942017,8.2043505,24.7898998,15.842,26.6783009,26.6464005,12.4941998,409.4419861,66.9014969,2.4087,67.2332993,189.1320038,15.3029003,37.0087013,134.0099945,286.7009888
4,Cell_00013,63.6805,5.61759,7.5055599,22.1693993,906.9320068,23.9435005,-9.9018497,33.8454018,18.8314991,-1.79074,17.3472004,-4.9583302,666.992981,81.9046021,33.8889008,29.9610996,229.9609985,105.5699997,230.0910034,122.9749985,156.7779999
5,Cell_00017,59.1822014,8.5824099,7.1314802,23.6630001,823.4840088,25.7092991,-4.50278,30.2119999,19.0028,-0.586111,19.0823994,-0.941667,657.34198,83.264801,28.9036999,34.9314995,238.4290009,96.8843002,219.6950073,108.4250031,51.5139008
6,Cell_00018,77.2205963,0.533333,3.0044401,21.3843994,370.7969971,7.2244401,-6.7811098,14.0056,-0.922222,0.151111,5.1711102,-3.8977799,613.2020264,64.4011002,30.3444004,21.9256001,187.0939941,104.9889984,146.4459991,151.5670013,487.4620056
7,Cell_00021,54.4356003,8.6962996,7.7694402,25.7556,863.7550049,25.4528008,-4.7786999,30.2315006,20.1917,-1.96759,19.3731003,-1.57222,694.1950073,90.1166992,36.4082985,28.4731998,239.4960022,119.9550018,239.5590057,133.2740021,197.0899963
8,Cell_00022,53.1805,11.1268997,8.4009304,30.1231003,740.9390259,27.1861,-0.792593,27.9787006,19.5888996,3.64259,20.3656998,2.31019,554.8309937,69.7305984,27.3943996,26.9258995,191.427002,99.7110977,187.8110046,110.3570023,94.9721985
9,Cell_00024,63.1805,4.50741,6.51019,25.5037003,671.4719849,18.9592991,-6.5981498,25.5573997,13.3332996,0.925,13.2565002,-3.02315,1060.199951,123.6689987,60.737999,23.0944004,344.8320007,192.6080017,323.9719849,235.8029938,660.9240112
10,Cell_00026,55.6805,9.5314798,7.4749999,27.8934994,748.8959961,24.9675999,-1.93796,26.9055996,19.7092991,0.946296,18.9731007,0.860185,643.3389893,76.7741013,30.7343006,25.7278004,214.621994,109.737999,214.7429962,122.8389969,118.3190002
